simp,pinyin,meaning,picture,simp_right,pinyin_right,meaning_right,picture_right
的,di4,aim; clear,,,,,
我,wo3,I; me; my,,,,,
是,shi4,variant of 是[shi4]; (used in given names),,,,,
了,liao4,unofficial variant of 瞭[liao4],,,,,
不,bu4,(negative prefix); not; no,,,,,
在,zai4,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),,,,,
他,ta1,he or him; (used for either sex when the sex is unknown or unimportant); (used before sbs name for emphasis); (used as a meaningless mock object); other; another,,,,,
好,hao4,to be fond of; to have a tendency to; to be prone to,,,,,
有,you3,to have; there is; there are; to exist; to be,,,,,
这,zhe4,this; these; (commonly pr. [zhei4] before a classifier，esp. in Beijing),,,,,
就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,,,,,
会,kuai4,to balance an account; accountancy; accounting,,,,,
要,yao4,important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if,,,,,
什么,shen2 me5,what?; something; anything,,,,,
说,shuo1,variant of 說|说[shuo1],,,,,
想,xiang3,to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth),,,,,
一,yi1,one; 1; single; a (article); as soon as; entire; whole; all; throughout; one radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit,,,,,
人,ren2,man; person; people; CL:個|个[ge4]位[wei4],,,,,
那,nuo2,(archaic) many; beautiful; how; old variant of 挪[nuo2],,,,,
来,lai2,to come; to arrive; to come round; ever since; next,,,,,
都,du1,capital city; metropolis,,,,,
个,ge4,variant of 個|个[ge4],,,,,
去,qu4,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),,,,,
没,mo4,drowned; to end; to die; to inundate,,,,,
和,he2,old variant of 和[he2]; harmonious,,,,,
到,dao4,to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action),,,,,
也,ye3,also; too; (in Classical Chinese) final particle implying affirmation,,,,,
啊,a5,modal particle ending sentence，showing affirmation，approval，or consent,,,,,
把,ba4,handle,,,,,
让,rang4,to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause，like 被[bei4]),,,,,
上,shang4,on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university),,,,,
过,guo5,(experienced action marker),,,,,
没有,mei2 you3,havent; hasnt; doesnt exist; to not have; to not be,,,,,
得,dei3,to have to; must; ought to; to need to,,,,,
看,kan4,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger),,,,,
真,zhen1,really; truly; indeed; real; true; genuine,,,,,
着,zhuo2,to wear (clothes); to contact; to use; to apply,,,,,
事,shi4,matter; thing; item; work; affair; CL:件[jian4]樁|桩[zhuang1]回[hui2],,,,,
现在,xian4 zai4,now; at present; at the moment; modern; current; nowadays,,,,,
点,dian3,point; dot; drop; speck; oclock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items,,,,,
但,dan4,but; yet; however; only; merely; still,,,,,
被,bei4,quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; (coll.) (since c. 2009) used before a verb that does not accurately represent what actually happened，to describe with black humor how sb or sth was dealt with by the authorities (as in 被自殺|被自杀[bei4 zi4 sha1]),,,,,
太,tai4,highest; greatest; too (much); very; extremely,,,,,
这样,zhe4 yang4,this kind of; so; this way; like this; such,,,,,
里,li3,li，ancient measure of length，approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough，administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels,,,,,
自己,zi4 ji3,oneself; ones own,,,,,
再,zai4,again; once more; re-; second; another; then (after sth，and not until then); no matter how ... (followed by an adjective or verb，and then (usually) 也[ye3] or 都[dou1] for emphasis),,,,,
多,duo1,many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means how,,,,,
用,yong4,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,,,,,
